Id substituicao,Id partida,Id time,Id Jogador Substituido,Id Jogador Substituto,Tempo,Acrescimo
467,94549,1062,9894,9893,70,
468,94549,128,9997,9989,83,
469,94549,128,10004,10182,85,
470,94549,1062,9882,9883,85,
471,94550,119,10387,10388,46,
472,94550,119,10404,10399,57,
473,94550,133,10579,10580,61,
474,94550,119,10402,10397,76,
475,94550,133,10578,10573,78,
476,94550,133,10571,10569,90,
477,94551,126,9969,9961,46,
478,94551,126,9949,9967,46,
479,94551,126,10332,9970,66,
480,94551,1062,2492,9901,72,
481,94551,1062,9892,9900,85,
482,94551,1062,9880,9894,90,4
483,94552,130,10488,10499,60,
484,94552,120,10068,10061,67,
485,94552,120,10073,80475,68,
486,94552,130,10507,10500,76,
487,94552,120,10074,10049,81,
488,94552,130,10503,10505,81,
489,94553,124,10300,10304,46,
490,94553,132,10203,10223,59,
491,94553,124,9975,10325,83,
492,94553,132,10202,9726,90,3
493,94553,124,10320,10303,90,1
494,94554,150,10450,64288,71,
495,94554,150,10028,10473,79,
496,94554,127,10180,10178,83,
497,94554,150,10463,10475,84,
498,94554,127,10174,10175,88,
499,94554,127,10157,70368,90,
500,94555,135,10093,10091,46,
501,94555,154,10425,10433,61,
502,94555,154,10256,10413,61,
503,94555,135,10103,10108,65,
504,94555,135,10087,10096,73,
505,94555,154,10438,10426,75,
506,94556,134,10117,10123,45,3
507,94556,134,10134,10142,46,
508,94556,151,10348,10353,48,
509,94556,151,10356,10346,69,
510,94556,134,10128,10133,71,
511,94556,151,10364,10358,83,
512,94557,118,10033,10038,62,
513,94557,118,10036,10025,75,
514,94557,119,10402,10399,76,
515,94557,119,10395,10388,79,
516,94557,119,10391,10398,90,
517,94558,145,10531,10541,46,
518,94558,145,10526,10529,63,
519,94558,121,9918,9928,67,
520,94558,145,10545,10525,69,
521,94558,121,9939,9926,84,
522,94558,121,9921,9924,89,
523,94559,131,10250,10331,68,
524,94559,128,9995,10000,69,
525,94559,128,9994,9989,75,
526,94559,131,10249,10257,79,
527,94559,128,10506,9986,81,
528,94559,131,10242,10252,87,
529,94560,129,77665,10294,19,
530,94560,133,10579,10567,46,
531,94560,129,10292,80171,63,
532,94560,133,10571,10580,68,
533,94560,133,10574,10565,84,
534,94560,129,80166,77669,84,
535,94561,134,10134,10144,65,
536,94561,119,10406,10398,66,
537,94561,119,1065,125676,73,
538,94561,134,10150,10493,78,
539,94561,134,10142,10147,78,
540,94561,119,10392,125677,83,
541,94562,128,10182,10506,61,
542,94562,128,9988,9997,61,
543,94562,118,10025,9927,62,
544,94562,118,10039,10042,70,
545,94562,118,10044,10041,70,
546,94562,128,9992,9986,82,
547,94563,1062,9901,9900,64,
548,94563,132,10390,10207,74,
549,94563,1062,70593,9896,77,
550,94563,132,10203,10214,82,
551,94563,132,10196,10223,82,
552,94563,1062,44494,9889,86,
553,94564,150,10028,41277,46,
554,94564,131,10243,10251,61,
555,94564,150,9963,10463,62,
556,94564,150,10449,10470,69,
557,94564,131,10244,10254,74,
558,94564,131,10261,10247,81,
559,94565,120,10073,10076,20,
560,94565,135,10093,10104,35,
561,94565,135,10098,106485,46,
562,94565,135,10106,10103,63,
563,94565,120,10074,9793,68,
564,94565,120,10048,10056,85,
565,94566,127,10173,2488,59,
566,94566,127,500,10157,59,
567,94566,151,10336,10352,62,
568,94566,151,10356,10346,62,
569,94566,127,10180,10177,72,
570,94566,151,10348,10302,87,
571,94567,129,119666,80171,46,
572,94567,124,10315,10322,59,
573,94567,129,77714,80187,72,
574,94567,124,10305,10300,75,
575,94567,129,80166,77669,84,
576,94567,124,10329,64331,89,
577,94568,154,10434,10435,37,
578,94568,145,80312,10527,46,
579,94568,145,10066,10525,65,
580,94568,154,10437,10429,74,
581,94568,154,10256,10424,80,
582,94568,145,10530,10532,84,
583,94569,130,10490,2414,37,
584,94569,133,10567,10574,69,
585,94569,130,10494,133188,76,
586,94569,133,10132,70299,76,
587,94569,130,10502,69198,80,
588,94569,133,10564,10565,80,
589,94570,126,9976,10108,46,
590,94570,121,9932,9935,46,
591,94570,121,9926,9920,65,
592,94570,126,9972,9969,72,
593,94570,126,9959,9967,76,
594,94570,121,9939,9936,83,
595,94571,1062,9880,2492,59,
596,94571,1062,9890,70593,63,
597,94571,1062,9901,9899,76,
598,94571,154,10256,10427,87,
599,94571,154,10438,10429,90,8
600,94572,145,10530,70796,46,
601,94572,151,10348,10352,52,
602,94572,151,10356,10346,58,
603,94572,145,10529,10532,63,
604,94572,145,80312,10541,74,
605,94572,151,10362,10361,83,
606,94573,118,10027,42163,46,
607,94573,118,10019,10167,70,
608,94573,118,10041,10044,70,
609,94573,135,10103,10107,74,
610,94573,135,106485,10082,81,
611,94574,128,10182,10506,46,
612,94574,128,9997,9988,51,
613,94574,128,10004,9989,55,
614,94574,120,10067,9793,58,
615,94574,120,10073,10076,63,
616,94574,120,10072,10057,71,
617,94575,121,9926,9936,46,
618,94575,121,9932,9920,54,
619,94575,129,80171,10292,70,
620,94575,121,9939,12788,70,
621,94575,129,77714,10283,79,
622,94575,129,77669,80187,82,
623,94576,127,10177,10175,46,
624,94576,127,2488,10180,63,
625,94576,127,30408,10178,78,
626,94576,131,10258,10331,84,
627,94576,131,10252,10254,90,5
628,94576,131,10247,10241,90,3
629,94577,150,9687,9963,40,
630,94577,150,10470,10463,46,
631,94577,134,10144,10129,70,
632,94577,150,10450,10272,72,
633,94577,134,10493,10127,87,
634,94577,134,10147,10146,90,2
635,94578,119,10385,10380,31,
636,94578,130,10484,2414,60,
637,94578,119,10404,10388,65,
638,94578,119,10396,10405,79,
639,94578,130,10507,10499,80,
640,94579,126,9972,9969,46,
641,94579,126,9957,9955,46,
642,94579,132,10390,10203,61,
643,94579,132,9726,10196,61,
644,94579,126,10108,9962,83,
645,94579,132,10192,10224,86,
646,94580,124,10329,9975,39,
647,94580,133,10132,10579,54,
648,94580,133,10570,10573,55,
649,94580,124,9970,10303,58,
650,94580,133,10567,10551,64,
651,94580,124,10321,10318,77,
652,94581,132,41247,10006,58,
653,94581,118,10027,10025,66,
654,94581,132,10199,42100,67,
655,94581,132,10390,10214,74,
656,94581,118,10041,10037,74,
657,94581,118,42163,10044,84,
658,94582,135,10093,80539,60,
659,94582,135,10105,10103,66,
660,94582,134,10150,10142,66,
661,94582,135,106485,133198,69,
662,94582,134,10119,9700,74,
663,94582,134,10144,10493,84,
664,94583,150,63981,41277,66,
665,94583,150,64288,70599,70,
666,94583,130,10484,2414,71,
667,94583,150,10028,10272,76,
668,94583,130,10507,69198,84,
669,94583,130,10502,133188,84,
670,94584,127,10156,10165,14,
671,94584,127,10178,10179,61,
672,94584,120,10076,80475,76,
673,94584,120,10057,10049,79,
674,94584,120,10068,9793,86,
675,94584,127,10174,2511,90,
676,94585,126,9972,9969,59,
677,94585,126,9959,9955,60,
678,94585,124,10320,10330,71,
679,94585,126,9957,9967,80,
680,94585,124,10311,10326,90,9
681,94585,124,10306,10324,90,8
682,94586,154,10434,10436,58,
683,94586,131,10236,2411,63,
684,94586,154,10438,10429,65,
685,94586,131,10331,10258,75,
686,94586,154,10412,9940,77,
687,94586,131,10242,9396,89,
688,94587,1062,44494,9901,61,
689,94587,151,10346,10356,64,
690,94587,151,10352,10348,68,
691,94587,1062,9886,9899,69,
692,94587,151,10362,80277,74,
693,94587,1062,9893,9896,81,
694,94588,129,77669,10292,46,
