id_cartao_amarelo,id_partida,id_time,id_Jogador,tempo,acrescimo
517,94587,151,10348,78,
518,94588,129,10267,21,
519,94588,119,10379,23,
520,94588,119,1065,27,
521,94588,129,10279,32,
522,94588,119,10397,70,
523,94588,129,10292,71,
524,94589,133,10553,14,
525,94589,133,10573,29,
526,94589,121,9924,67,
527,94589,133,10561,87,
528,94589,133,10564,90,
529,94590,128,9995,15,
530,94590,145,10517,51,
531,94590,145,80312,54,
532,94590,128,10182,78,
533,94591,134,10135,45,
534,94591,126,9946,45,
535,94591,134,10493,62,
536,94591,134,10128,68,
537,94591,126,2571,71,
538,94592,135,2485,33,
539,94592,135,10098,35,
540,94592,1062,9888,57,
541,94592,135,10104,63,
542,94592,1062,9890,67,
543,94593,120,10051,61,
544,94593,145,10519,66,
545,94593,145,10525,86,
546,94594,127,500,6,
547,94594,118,10027,51,
548,94595,129,10269,30,
549,94595,129,10267,63,
550,94595,154,10419,69,
551,94595,129,10278,89,
552,94595,154,10419,89,
553,94596,121,2502,12,
554,94596,121,9905,40,
555,94596,131,12744,44,
556,94596,121,9929,67,
557,94597,119,10396,80,
558,94597,124,10311,90,
559,94597,119,10387,90,
560,94598,132,10222,24,
561,94598,130,10501,28,
562,94598,132,10006,45,
563,94598,130,2466,62,
564,94598,130,10498,82,
565,94598,132,10224,86,
566,94598,130,10485,88,
567,94599,151,10337,13,
568,94599,151,10338,13,
569,94599,128,9985,30,
570,94599,151,10346,38,
571,94599,151,10362,57,
572,94599,128,2454,69,
573,94599,128,10182,89,
574,94600,133,10558,44,
575,94600,150,63981,45,
576,94600,133,10553,90,
577,94600,133,70299,90,
578,94600,133,10564,90,
579,94601,1062,9886,20,
580,94601,1062,9865,53,
581,94601,1062,9901,79,
582,94601,124,,81,
583,94601,1062,44494,83,
584,94601,124,10307,90,
585,94601,124,9970,90,
586,94602,135,10101,59,
587,94602,135,10086,67,
588,94602,145,10508,80,
589,94602,135,10086,82,
590,94602,145,10529,90,
591,94602,145,80312,90,
592,94603,120,10068,40,
593,94603,120,10076,49,
594,94603,134,10129,49,
595,94603,120,10069,67,
596,94604,129,80186,11,
597,94604,129,10265,32,
598,94604,132,41247,35,
599,94604,132,10211,45,
600,94604,129,80166,62,
601,94605,150,10462,25,
602,94605,150,63981,42,
603,94605,150,9341,72,
604,94605,154,10427,78,
605,94606,127,500,11,
606,94606,130,10492,14,
607,94606,130,10481,31,
608,94606,127,46792,45,
609,94606,127,10175,66,
610,94606,127,2488,75,
611,94607,151,10352,20,
612,94607,151,10336,40,
613,94607,151,10362,53,
614,94607,133,10564,63,
615,94607,133,10565,71,
616,94607,133,10574,82,
617,94607,133,10581,90,
618,94607,133,10574,90,
619,94607,151,,90,
620,94608,119,10396,38,
621,94608,131,10230,65,
622,94608,131,10229,88,
623,94608,119,10388,90,
624,94608,119,10402,90,
625,94609,121,9916,39,
626,94609,121,9926,45,
627,94609,121,9932,45,
628,94609,118,9706,45,
629,94609,118,42163,45,
630,94609,121,9939,52,
631,94609,121,9905,52,
632,94609,118,10031,86,
633,94609,118,10031,87,
634,94609,118,33336,90,
635,94609,121,9924,90,
636,94610,126,10108,10,
637,94610,128,9980,29,
638,94610,126,9955,35,
639,94610,126,31015,37,
640,94610,126,9958,62,
