Iddojogador,Nomedojogador,Iddotimerodada1,Iddotimerodada2,Iddotimerodada3,Iddotimerodada4,Iddotimerodada5,Iddotimerodada6,Iddotimerodada7,Iddotimerodada8,Iddotimerodada9,Iddotimerodada10,Iddotimerodada11,Iddotimerodada12,Iddotimerodada13,Iddotimerodada14,Iddotimerodada15,Iddotimerodada16,Iddotimerodada17,Iddotimerodada18,Iddotimerodada19,Iddotimerodada20,Iddotimerodada21,Iddotimerodada22,Iddotimerodada23,Iddotimerodada24,Iddotimerodada25,Iddotimerodada26,Iddotimerodada27,Iddotimerodada28,Iddotimerodada29,Iddotimerodada30,Iddotimerodada31,Iddotimerodada32,Iddotimerodada33,Iddotimerodada34,Iddotimerodada35,Iddotimerodada36,Iddotimerodada37,Iddotimerodada38
77714,Willian Oliveira,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,129,-1,129,129,129,129,-1,129,-1,-1,-1,-1,129,-1,129,-1
10003,Felippe Cardoso,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,129,129,129,129,129,129,129,129,129,-1,129,-1,129,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1
80312,Léo,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,145,145,-1,145,-1,-1,-1,145,-1,145,145,-1,-1,-1,-1,-1,145,145,145,-1,-1,-1,145,145,-1,145,-1
10529,Douglas,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10066,Gustavo Ferrareis,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,145,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50081,David Braz,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,-1,130,130,130,130,-1,130,130,130,-1,130,130,130,-1,130,-1,130,-1,-1,130,130,-1,-1,-1,130,-1,-1
10132,Marquinho,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,133,133,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10567,Valdívia,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9976,Pablo,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,126,126,126,126,126,-1,-1,-1,-1,-1,-1,126,126,126,-1,126,126,126,-1,-1
10358,Renatinho,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
