idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
345,94619,126,256,10108.0,40,
346,94620,127,10180,2612.0,42,
347,94620,127,10174,,51,
348,94620,133,10553,10581.0,58,
349,94620,127,10174,,62,
350,94620,127,2612,,83,
351,94621,118,10041,10015.0,20,
352,94622,145,70796,10544.0,60,
353,94622,131,10261,,77,
354,94624,127,46792,10175.0,22,
355,94624,127,10174,10175.0,35,
356,94624,127,2612,500.0,90,7.0
357,94625,135,10104,,11,
358,94625,150,10450,10463.0,90,4.0
359,94626,119,10404,10398.0,12,
360,94626,151,10364,10362.0,71,
361,94626,151,10344,,90,6.0
362,94627,130,10502,10492.0,4,
363,94627,134,10143,10142.0,48,
364,94627,130,10492,10484.0,52,
365,94628,121,1793,,9,
366,94628,121,1793,9939.0,58,
367,94628,121,1793,9916.0,63,
368,94629,128,10506,10004.0,2,
369,94629,128,9985,,10,
370,94629,128,10004,9985.0,32,
371,94629,154,10437,,60,
372,94629,154,10437,10419.0,68,
373,94629,154,10413,,90,5.0
374,94630,133,70299,10553.0,57,
375,94630,133,10569,10552.0,81,
376,94631,134,10133,,45,4.0
377,94632,118,10039,,86,
378,94633,128,10195,,39,
379,94634,131,10257,10241.0,89,
380,94635,135,106485,10105.0,80,
381,94636,127,10174,2612.0,11,
382,94636,127,2612,10180.0,38,
383,94636,127,10174,,61,
384,94637,145,10525,,87,
385,94638,154,10420,10413.0,25,
386,94638,154,10434,9940.0,59,
387,94639,119,10395,10406.0,44,
388,94639,119,10387,10402.0,53,
389,94639,120,10072,10048.0,62,
390,94639,119,10402,10395.0,83,
391,94639,120,10048,10054.0,90,5.0
392,94641,127,10174,10166.0,11,
393,94641,127,46792,10168.0,32,
394,94641,127,10166,10174.0,53,
395,94642,120,10072,,45,
396,94642,120,10067,10071.0,66,
397,94642,1062,47552,9886.0,90,3.0
398,94643,131,10268,,23,
399,94643,131,10261,,37,
400,94643,129,80166,10275.0,59,
401,94643,129,10292,,90,2.0
402,94644,130,10507,10484.0,18,
403,94644,130,10501,2414.0,28,
404,94644,135,10104,,37,
405,94644,130,2414,10494.0,64,
406,94644,130,2414,10491.0,77,
407,94645,150,9687,9963.0,40,
408,94645,150,9963,9298.0,90,4.0
409,94646,124,10329,9970.0,86,
410,94647,151,10344,10352.0,20,
411,94647,121,9936,9926.0,81,
412,94647,121,9926,9933.0,90,11.0
413,94648,119,10406,,77,
414,94649,134,10149,10493.0,42,
415,94649,128,10000,,90,1.0
416,94650,118,10015,,56,
417,94650,118,10041,10024.0,61,
418,94651,145,140452,10514.0,14,
419,94652,119,10400,,29,
420,94652,119,10403,10406.0,53,
421,94652,119,10400,10384.0,64,
422,94652,1062,9889,2492.0,88,
423,94653,154,9940,10434.0,10,
424,94653,118,10041,,14,
425,94655,133,10575,10281.0,45,2.0
426,94655,132,10006,10208.0,73,
427,94655,133,70299,,75,
428,94656,127,10174,10168.0,44,
429,94657,124,10311,10319.0,40,
430,94658,130,10491,2414.0,29,
431,94658,130,2414,10501.0,32,
432,94658,130,10501,10480.0,45,
433,94659,121,9921,1793.0,45,1.0
434,94660,150,9324,10272.0,55,
435,94660,126,9946,9945.0,87,
436,94662,126,9959,9969.0,37,
437,94662,120,10068,10062.0,45,1.0
438,94662,126,9976,2571.0,90,2.0
439,94663,131,10261,,44,
440,94663,118,10041,,64,
441,94663,131,10258,10244.0,75,
442,94664,127,10174,30408.0,7,
443,94664,135,10098,,38,
444,94664,127,2612,10173.0,67,
445,94665,150,10446,10450.0,64,
446,94666,121,9936,,48,
447,94667,151,10364,,12,
448,94667,151,10344,10349.0,66,
449,94667,151,10348,80653.0,89,
450,94668,119,10395,,86,
451,94669,130,10502,,55,
452,94669,130,10500,2414.0,87,
453,94669,130,2414,10501.0,90,3.0
454,94670,134,10117,9700.0,49,
455,94670,133,10552,,69,
456,94671,154,10437,,11,
457,94671,134,10150,10143.0,32,
458,94671,134,10133,10129.0,45,3.0
459,94671,134,10129,10133.0,61,
460,94671,134,10142,,90,4.0
461,94672,1062,44494,9872.0,60,
462,94672,133,10578,,67,
463,94672,133,10564,10578.0,90,4.0
464,94673,118,10040,10013.0,24,
465,94673,118,10042,10040.0,63,
466,94675,131,10230,10258.0,63,
467,94676,127,10174,,20,
468,94676,119,10387,10395.0,49,
469,94676,127,2612,500.0,56,
470,94676,127,10180,2612.0,74,
471,94677,128,2454,9995.0,40,
472,94677,124,9991,,45,3.0
473,94678,130,10507,,4,
474,94678,130,50081,10502.0,14,
475,94678,130,10502,10507.0,38,
476,94678,130,10323,10502.0,45,1.0
477,94678,130,10480,,64,
478,94678,130,10505,2414.0,70,
479,94678,145,10531,,86,
480,94679,121,1793,9939.0,6,
481,94679,121,9936,9921.0,11,
482,94679,121,9921,9905.0,29,
483,94679,121,2502,9929.0,45,2.0
484,94679,150,10450,10272.0,52,
485,94679,121,1793,9918.0,75,
486,94679,121,9921,9939.0,83,
487,94679,150,10290,,88,
488,94680,151,10359,10364.0,16,
489,94681,132,10006,10193.0,31,
490,94681,134,10133,,57,
491,94682,129,80166,,43,
